problem,time,notes
000000000000000,,pe28.hs
541,,
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,,
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,,
559,,
560,,
000000000000000,,pe29.hs
561,,
562,,
563,,
564,,
565,,
566,,
567,,
568,,
569,,
570,,
571,,
572,,
573,,
574,,
575,,
576,,
577,,In Progress
578,,
579,,
580,,
000000000000000,,pe30.hs
581,,
582,,
583,,
584,,
585,,
586,,
587,0.0, Manually converged to a solution with O(1) function
588,,
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,
597,,
598,,
599,,
600,,
000000000000000,,pe31.hs
601,,
602,,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,
